,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
159,2021,2,Río Negro,48.0,44.0,19.0,15.0,18.0,144.0
160,2021,2,Salta,51.0,96.0,32.0,6.0,6.0,191.0
161,2021,2,San Juan,40.0,12.0,7.0,11.0,8.0,78.0
162,2021,2,San Luis,8.0,11.0,28.0,67.0,36.0,150.0
163,2021,2,Santa Cruz,12.0,23.0,6.0,4.0,3.0,48.0
164,2021,2,Santa Fe,257.0,432.0,90.0,44.0,18.0,841.0
165,2021,2,Santiago Del Estero,21.0,84.0,909.0,5.0,4.0,1023.0
166,2021,2,Tierra Del Fuego,13.0,23.0,6.0,14.0,316.0,372.0
167,2021,2,Tucumán,110.0,48.0,72.0,2.0,743.0,975.0
168,2021,1,Buenos Aires,630.0,2.0,822.0,99.0,58.0,1611.0
169,2021,1,Capital Federal,160.0,1.0,40.0,6.0,29.0,236.0
170,2021,1,Catamarca,26.0,4.0,19.0,322.0,2.0,373.0
171,2021,1,Chaco,43.0,61.0,25.0,8.0,2.0,139.0
172,2021,1,Chubut,46.0,41.0,3.0,24.0,19.0,133.0
173,2021,1,Córdoba,260.0,445.0,135.0,54.0,17.0,911.0
174,2021,1,Corrientes,49.0,63.0,3.0,6.0,5.0,126.0
175,2021,1,Entre Ríos,84.0,118.0,17.0,21.0,12.0,252.0
176,2021,1,Formosa,21.0,11.0,3.0,16.0,380.0,431.0
177,2021,1,Jujuy,32.0,54.0,17.0,3.0,4.0,110.0
178,2021,1,La Pampa,9.0,59.0,16.0,12.0,1.0,97.0
179,2021,1,La Rioja,17.0,35.0,1.0,250.0,30.0,333.0
180,2021,1,Mendoza,92.0,69.0,39.0,18.0,833.0,1051.0
181,2021,1,Misiones,48.0,82.0,7.0,5.0,7.0,149.0
182,2021,1,Neuquén,30.0,70.0,14.0,18.0,632.0,764.0
183,2021,1,Río Negro,49.0,42.0,18.0,14.0,18.0,141.0
184,2021,1,Salta,55.0,89.0,31.0,6.0,6.0,187.0
185,2021,1,San Juan,40.0,12.0,7.0,11.0,8.0,78.0
186,2021,1,San Luis,8.0,11.0,28.0,64.0,36.0,147.0
187,2021,1,Santa Cruz,12.0,23.0,6.0,4.0,390.0,435.0
188,2021,1,Santa Fe,277.0,421.0,71.0,39.0,18.0,826.0
189,2021,1,Santiago Del Estero,26.0,76.0,570.0,5.0,4.0,681.0
190,2021,1,Tierra Del Fuego,13.0,27.0,6.0,0.0,316.0,362.0
191,2021,1,Tucumán,147.0,12.0,70.0,2.0,740.0,971.0
192,2020,4,Buenos Aires,636.0,2.0,805.0,93.0,58.0,1594.0
193,2020,4,Capital Federal,163.0,1.0,40.0,5.0,29.0,238.0
194,2020,4,Catamarca,27.0,5.0,18.0,322.0,2.0,374.0
195,2020,4,Chaco,44.0,61.0,24.0,8.0,2.0,139.0
196,2020,4,Chubut,46.0,40.0,3.0,23.0,19.0,131.0
197,2020,4,Córdoba,267.0,439.0,126.0,53.0,18.0,903.0
198,2020,4,Corrientes,50.0,61.0,3.0,6.0,5.0,125.0
199,2020,4,Entre Ríos,86.0,114.0,16.0,20.0,12.0,248.0
200,2020,4,Formosa,21.0,11.0,2.0,15.0,380.0,429.0
201,2020,4,Jujuy,33.0,53.0,16.0,1.0,3.0,106.0
202,2020,4,La Pampa,9.0,59.0,15.0,12.0,1.0,96.0
203,2020,4,La Rioja,18.0,35.0,1.0,250.0,30.0,334.0
204,2020,4,Mendoza,92.0,68.0,36.0,18.0,833.0,1047.0
205,2020,4,Misiones,49.0,80.0,7.0,4.0,7.0,147.0
206,2020,4,Neuquén,30.0,71.0,14.0,18.0,632.0,765.0
207,2020,4,Río Negro,49.0,42.0,18.0,14.0,18.0,141.0
208,2020,4,Salta,57.0,88.0,31.0,6.0,6.0,188.0
209,2020,4,San Juan,40.0,7.0,7.0,10.0,8.0,72.0
210,2020,4,San Luis,8.0,12.0,27.0,63.0,36.0,146.0
211,2020,4,Santa Cruz,12.0,20.0,1.0,5.0,3.0,41.0
212,2020,4,Santa Fe,287.0,415.0,63.0,39.0,17.0,821.0
213,2020,4,Santiago Del Estero,27.0,71.0,570.0,5.0,4.0,677.0
214,2020,4,Tierra Del Fuego,13.0,26.0,6.0,0.0,316.0,361.0
215,2020,4,Tucumán,149.0,11.0,68.0,2.0,740.0,970.0
216,2020,3,Buenos Aires,654.0,2.0,749.0,94.0,56.0,1555.0
217,2020,3,Capital Federal,170.0,1.0,39.0,4.0,29.0,243.0
218,2020,3,Catamarca,27.0,4.0,17.0,261.0,2.0,311.0
219,2020,3,Chaco,46.0,59.0,21.0,7.0,2.0,135.0
220,2020,3,Chubut,46.0,39.0,3.0,23.0,19.0,130.0
221,2020,3,Córdoba,276.0,431.0,102.0,48.0,10.0,867.0
222,2020,3,Corrientes,51.0,59.0,3.0,6.0,5.0,124.0
223,2020,3,Entre Ríos,88.0,107.0,14.0,20.0,12.0,241.0
224,2020,3,Formosa,22.0,10.0,2.0,15.0,393.0,442.0
225,2020,3,Jujuy,33.0,58.0,11.0,952.0,4.0,1058.0
226,2020,3,La Pampa,9.0,57.0,15.0,12.0,1.0,94.0
227,2020,3,La Rioja,17.0,35.0,1.0,250.0,35.0,338.0
228,2020,3,Mendoza,92.0,65.0,33.0,18.0,868.0,1076.0
229,2020,3,Misiones,50.0,78.0,3.0,3.0,9.0,143.0
230,2020,3,Neuquén,30.0,70.0,11.0,17.0,737.0,865.0
231,2020,3,Río Negro,50.0,40.0,10.0,13.0,18.0,131.0
232,2020,3,Salta,58.0,84.0,25.0,6.0,7.0,180.0
233,2020,3,San Juan,40.0,9.0,6.0,14.0,8.0,77.0
234,2020,3,San Luis,8.0,10.0,6.0,62.0,36.0,122.0
235,2020,3,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
236,2020,3,Santa Fe,295.0,406.0,46.0,37.0,19.0,803.0
237,2020,3,Santiago Del Estero,26.0,71.0,555.0,4.0,4.0,660.0
238,2020,3,Tierra Del Fuego,13.0,26.0,0.0,0.0,310.0,349.0
239,2020,3,Tucumán,150.0,12.0,60.0,2.0,762.0,986.0
240,2020,2,Buenos Aires,661.0,2.0,723.0,92.0,57.0,1535.0
241,2020,2,Capital Federal,179.0,1.0,39.0,4.0,29.0,252.0
242,2020,2,Catamarca,27.0,4.0,15.0,261.0,2.0,309.0
243,2020,2,Chaco,47.0,56.0,17.0,6.0,2.0,128.0
244,2020,2,Chubut,46.0,38.0,1.0,18.0,6.0,109.0
245,2020,2,Córdoba,283.0,415.0,86.0,45.0,8.0,837.0
246,2020,2,Corrientes,51.0,56.0,3.0,4.0,5.0,119.0
247,2020,2,Entre Ríos,89.0,99.0,14.0,20.0,11.0,233.0
248,2020,2,Formosa,22.0,9.0,2.0,15.0,169.0,217.0
249,2020,2,Jujuy,33.0,39.0,5.0,952.0,17.0,1046.0
250,2020,2,La Pampa,9.0,54.0,14.0,11.0,1.0,89.0
251,2020,2,La Rioja,17.0,35.0,1.0,250.0,35.0,338.0
252,2020,2,Mendoza,92.0,63.0,30.0,16.0,802.0,1003.0
253,2020,2,Misiones,51.0,74.0,3.0,3.0,9.0,140.0
254,2020,2,Neuquén,30.0,68.0,11.0,16.0,1.0,126.0
255,2020,2,Río Negro,50.0,40.0,10.0,11.0,18.0,129.0
256,2020,2,Salta,60.0,82.0,24.0,5.0,7.0,178.0
257,2020,2,San Juan,40.0,8.0,6.0,7.0,9.0,70.0
258,2020,2,San Luis,8.0,8.0,6.0,61.0,36.0,119.0
259,2020,2,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
260,2020,2,Santa Fe,300.0,382.0,47.0,30.0,19.0,778.0
261,2020,2,Santiago Del Estero,26.0,72.0,355.0,3.0,4.0,460.0
262,2020,2,Tierra Del Fuego,13.0,26.0,0.0,0.0,310.0,349.0
263,2020,2,Tucumán,150.0,10.0,55.0,1.0,762.0,978.0
264,2020,1,Buenos Aires,673.0,2.0,721.0,85.0,18.0,1499.0
265,2020,1,Capital Federal,184.0,1.0,39.0,4.0,29.0,257.0
266,2020,1,Catamarca,22.0,3.0,12.0,261.0,2.0,300.0
267,2020,1,Chaco,46.0,54.0,12.0,6.0,2.0,120.0
268,2020,1,Chubut,46.0,27.0,1.0,17.0,5.0,96.0
269,2020,1,Córdoba,286.0,406.0,69.0,42.0,9.0,812.0
270,2020,1,Corrientes,51.0,53.0,2.0,2.0,5.0,113.0
271,2020,1,Entre Ríos,90.0,95.0,13.0,19.0,14.0,231.0
272,2020,1,Formosa,21.0,9.0,2.0,15.0,169.0,216.0
273,2020,1,Jujuy,32.0,39.0,3.0,942.0,17.0,1033.0
274,2020,1,La Pampa,9.0,54.0,14.0,11.0,2.0,90.0
275,2020,1,La Rioja,13.0,35.0,0.0,251.0,29.0,328.0
276,2020,1,Mendoza,92.0,50.0,28.0,12.0,722.0,904.0
277,2020,1,Misiones,51.0,69.0,1.0,460.0,11.0,592.0
278,2020,1,Neuquén,29.0,66.0,11.0,15.0,729.0,850.0
279,2020,1,Río Negro,48.0,38.0,10.0,11.0,18.0,125.0
280,2020,1,Salta,60.0,76.0,23.0,4.0,7.0,170.0
281,2020,1,San Juan,40.0,6.0,6.0,7.0,5.0,64.0
282,2020,1,San Luis,8.0,8.0,5.0,58.0,36.0,115.0
283,2020,1,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
284,2020,1,Santa Fe,302.0,384.0,35.0,30.0,19.0,770.0
285,2020,1,Santiago Del Estero,25.0,70.0,200.0,3.0,5.0,303.0
286,2020,1,Tierra Del Fuego,13.0,26.0,0.0,0.0,308.0,347.0
287,2020,1,Tucumán,143.0,10.0,45.0,1.0,347.0,546.0
288,2019,4,Buenos Aires,720.0,2.0,669.0,87.0,18.0,1496.0
289,2019,4,Capital Federal,197.0,1.0,36.0,4.0,29.0,267.0
290,2019,4,Catamarca,23.0,3.0,10.0,261.0,2.0,299.0
291,2019,4,Chaco,49.0,54.0,9.0,5.0,2.0,119.0
292,2019,4,Chubut,47.0,27.0,1.0,15.0,5.0,95.0
293,2019,4,Córdoba,297.0,410.0,53.0,38.0,9.0,807.0
294,2019,4,Corrientes,53.0,52.0,2.0,2.0,5.0,114.0
295,2019,4,Entre Ríos,93.0,99.0,13.0,19.0,15.0,239.0
296,2019,4,Formosa,22.0,9.0,2.0,15.0,169.0,217.0
297,2019,4,Jujuy,33.0,38.0,873.0,814.0,17.0,1775.0
298,2019,4,La Pampa,15.0,57.0,5.0,11.0,2.0,90.0
299,2019,4,La Rioja,14.0,35.0,0.0,251.0,29.0,329.0
300,2019,4,Mendoza,97.0,50.0,25.0,14.0,730.0,916.0
301,2019,4,Misiones,53.0,70.0,847.0,441.0,12.0,1423.0
302,2019,4,Neuquén,30.0,61.0,11.0,14.0,854.0,970.0
303,2019,4,Río Negro,50.0,38.0,10.0,11.0,18.0,127.0
304,2019,4,Salta,63.0,76.0,22.0,3.0,8.0,172.0
305,2019,4,San Juan,41.0,6.0,5.0,7.0,5.0,64.0
306,2019,4,San Luis,9.0,8.0,6.0,55.0,36.0,114.0
307,2019,4,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
308,2019,4,Santa Fe,312.0,382.0,27.0,27.0,20.0,768.0
309,2019,4,Santiago Del Estero,25.0,71.0,200.0,3.0,5.0,304.0
310,2019,4,Tierra Del Fuego,13.0,27.0,0.0,0.0,310.0,350.0
311,2019,4,Tucumán,147.0,11.0,40.0,725.0,348.0,1271.0
312,2019 ,3 ,Buenos Aires,1.0,2.0,425.0,86.0,27.0,541.0
313,2019 ,3 ,Capital Federal,300.0,1.0,25.0,4.0,31.0,361.0
314,2019 ,3 ,Catamarca,24.0,6.0,13.0,244.0,2.0,289.0
315,2019 ,3 ,Chaco,50.0,49.0,8.0,5.0,2.0,114.0
316,2019 ,3 ,Chubut,37.0,27.0,2.0,15.0,8.0,89.0
317,2019 ,3 ,Córdoba,308.0,399.0,30.0,37.0,9.0,783.0
318,2019 ,3 ,Corrientes,53.0,50.0,2.0,2.0,5.0,112.0
319,2019 ,3 ,Entre Ríos,95.0,96.0,13.0,19.0,15.0,238.0
320,2019 ,3 ,Formosa,22.0,8.0,1.0,14.0,162.0,207.0
321,2019 ,3 ,Jujuy,33.0,36.0,274.0,812.0,17.0,1172.0
322,2019 ,3 ,La Pampa,19.0,53.0,5.0,11.0,2.0,90.0
323,2019 ,3 ,La Rioja,14.0,35.0,11.0,251.0,41.0,352.0
324,2019 ,3 ,Mendoza,149.0,54.0,7.0,13.0,2.0,225.0
325,2019 ,3 ,Misiones,54.0,66.0,829.0,419.0,12.0,1380.0
326,2019 ,3 ,Neuquén,43.0,60.0,6.0,14.0,3.0,126.0
327,2019 ,3 ,Río Negro,67.0,37.0,10.0,11.0,19.0,144.0
328,2019 ,3 ,Salta,66.0,74.0,733.0,2.0,9.0,884.0
329,2019 ,3 ,San Juan,52.0,7.0,1.0,7.0,6.0,73.0
330,2019 ,3 ,San Luis,13.0,11.0,350.0,62.0,36.0,472.0
331,2019 ,3 ,Santa Cruz,11.0,17.0,969.0,7.0,3.0,1007.0
332,2019 ,3 ,Santa Fe,319.0,377.0,19.0,24.0,21.0,760.0
333,2019 ,3 ,Santiago Del Estero,25.0,71.0,219.0,3.0,34.0,352.0
334,2019 ,3 ,Tierra Del Fuego,20.0,27.0,651.0,0.0,1.0,699.0
335,2019 ,3 ,Tucumán,151.0,12.0,116.0,684.0,324.0,1287.0
336,2019 ,2 ,Buenos Aires,1.0,2.0,383.0,75.0,33.0,494.0
337,2019 ,2 ,Capital Federal,310.0,1.0,36.0,4.0,4.0,355.0
338,2019 ,2 ,Catamarca,26.0,6.0,13.0,146.0,2.0,193.0
339,2019 ,2 ,Chaco,51.0,47.0,4.0,5.0,2.0,109.0
340,2019 ,2 ,Chubut,37.0,26.0,2.0,14.0,8.0,87.0
341,2019 ,2 ,Córdoba,315.0,388.0,23.0,34.0,15.0,775.0
342,2019 ,2 ,Corrientes,54.0,47.0,2.0,2.0,6.0,111.0
343,2019 ,2 ,Entre Ríos,97.0,91.0,13.0,17.0,18.0,236.0
344,2019 ,2 ,Formosa,22.0,9.0,1.0,14.0,162.0,208.0
345,2019 ,2 ,Jujuy,33.0,31.0,274.0,812.0,22.0,1172.0
346,2019 ,2 ,La Pampa,19.0,52.0,5.0,11.0,3.0,90.0
347,2019 ,2 ,La Rioja,15.0,35.0,11.0,251.0,41.0,353.0
348,2019 ,2 ,Mendoza,149.0,54.0,7.0,13.0,2.0,225.0
349,2019 ,2 ,Misiones,55.0,64.0,543.0,421.0,12.0,1095.0
350,2019 ,2 ,Neuquén,43.0,59.0,5.0,13.0,3.0,123.0
351,2019 ,2 ,Río Negro,68.0,37.0,4.0,10.0,20.0,139.0
352,2019 ,2 ,Salta,69.0,62.0,725.0,1.0,9.0,866.0
353,2019 ,2 ,San Juan,52.0,7.0,1.0,3.0,7.0,70.0
354,2019 ,2 ,San Luis,11.0,10.0,347.0,57.0,38.0,463.0
355,2019 ,2 ,Santa Cruz,11.0,10.0,379.0,7.0,3.0,410.0
356,2019 ,2 ,Santa Fe,325.0,355.0,18.0,22.0,23.0,743.0
357,2019 ,2 ,Santiago Del Estero,24.0,65.0,219.0,3.0,35.0,346.0
358,2019 ,2 ,Tierra Del Fuego,20.0,26.0,651.0,0.0,1.0,698.0
359,2019 ,2 ,Tucumán,153.0,12.0,116.0,684.0,321.0,1286.0
